M,N,D
59100,400,16.25
59200,400,16.15
59300,400,29.4
59400,400,31
59500,400,20.05
59600,400,25.65
59700,400,27.35
59800,400,19.45
59900,400,23
60000,400,29.55
60100,400,24.55
60200,400,24.45
60300,400,19.9
60400,400,23.8
60500,400,23
60600,400,16.9
60700,400,18.6
60800,400,29.2
60900,400,22.1
61000,400,19.4
61100,400,28.15
61200,400,25.9
61300,400,29.05
61400,400,17.25
61500,400,27.4
61600,400,27.75
61700,400,27.3
61800,400,18.95
61900,400,21.9
62000,400,28.55
62100,400,25.95
62200,400,28.2
62300,400,20.45
62400,400,28.5
62500,400,19.85
62600,400,23.65
62700,400,24.6
62800,400,23.4
62900,400,22.5
63000,400,28.5
63100,400,25.05
63200,400,27
63300,400,24.65
63400,400,32.85
63500,400,22
63600,400,16.4
63700,400,25.3
63800,400,27.1
63900,400,14
64000,400,24.6
64100,400,21.9
64200,400,28.1
64300,400,25.35
64400,400,20.7
64500,400,25.75
64600,400,27.65
64700,400,23.1
64800,400,33.3
64900,400,22.1
65000,400,16.3
65100,400,22.8
65200,400,21.5
65300,400,24.15
65400,400,22.45
65500,400,19.4
65600,400,29.9
65700,400,19.4
65800,400,23.8
65900,400,26.8
66000,400,16.85
66100,400,20.5
66200,400,19.1
66300,400,19.65
66400,400,19.35
66500,400,24.8
66600,400,24.8
66700,400,28.35
66800,400,23.85
66900,400,22.7
67000,400,25
67100,400,29.2
67200,400,16.9
67300,400,27.35
67400,400,18.8
67500,400,29.3
67600,400,32.4
67700,400,24.3
67800,400,25.55
67900,400,28.3
68000,400,35.85
68100,400,26.4
68200,400,23.5
68300,400,20.75
68400,400,30
68500,400,20.35
68600,400,19
68700,400,19.25
68800,400,26.05
68900,400,26.2
69000,400,23.85
69100,400,24.25
69200,400,19.55
69300,400,31.6
69400,400,21.3
69500,400,22.1
69600,400,25.3
69700,400,19.4
69800,400,30.15
69900,400,21.5
70000,400,26.95
70100,400,26.4
70200,400,21.5
70300,400,19.75
70400,400,28.3
70500,400,19.75
70600,400,18.5
70700,400,25.8
70800,400,28.1
70900,400,18.4
71000,400,21.15
71100,400,26.75
71200,400,30.6
71300,400,21.8
71400,400,21
71500,400,20.1
71600,400,21.85
71700,400,28.8
71800,400,19.85
71900,400,17.55
72000,400,19.85
72100,400,32.65
72200,400,27.35
72300,400,33.55
72400,400,20.9
72500,400,18.9
72600,400,18.4
72700,400,31
72800,400,34.4
72900,400,17.95
73000,400,26.25
73100,400,31.25
73200,400,18.3
73300,400,17.55
73400,400,28.25
73500,400,21.05
73600,400,21.15
73700,400,36.65
73800,400,21.55
73900,400,25.95
74000,400,22.65
74100,400,28.25
74200,400,12.35
74300,400,22.4
74400,400,28.85
74500,400,22.6
74600,400,19.55
74700,400,17.35
74800,400,29.4
74900,400,20.1
75000,400,18.25
75100,400,30.8
75200,400,20.6
75300,400,34.15
75400,400,29.85
75500,400,19.05
75600,400,28
75700,400,21.65
75800,400,18.3
75900,400,24.45
76000,400,22.65
76100,400,26.1
76200,400,23.55
76300,400,21.95
76400,400,27.3
76500,400,23.5
76600,400,22
76700,400,18.85
76800,400,21.85
76900,400,23
77000,400,17.35
77100,400,22.65
77200,400,20.8
77300,400,26.65
77400,400,19.9
77500,400,22.1
77600,400,28.25
77700,400,22.65
77800,400,20.85
77900,400,32.6
78000,400,24.4
78100,400,27.4
78200,400,24.6
78300,400,28.6
78400,400,19.8
78500,400,18.75
78600,400,39.1
78700,400,20.25
78800,400,21.2
78900,400,29.55
79000,400,21.3
79100,400,13.55
79200,400,23.15
79300,400,22.45
79400,400,17.75
79500,400,33.1
79600,400,28.3
79700,400,26.6
79800,400,38.45
79900,400,22.35
80000,400,19.65
80100,400,26.6
80200,400,22.95
80300,400,27.5
80400,400,19.8
80500,400,21.35
80600,400,29.6
80700,400,24.75
80800,400,24.3
80900,400,21.65
81000,400,24.45
81100,400,17
81200,400,27.4
81300,400,23.85
81400,400,28.35
81500,400,28.55
81600,400,29.25
81700,400,22
81800,400,20.95
81900,400,21.7
82000,400,23.6
82100,400,15.45
82200,400,25.55
82300,400,26.05
82400,400,26.4
82500,400,19.95
82600,400,19.25
82700,400,16.35
82800,400,28.45
82900,400,22
83000,400,14.9
83100,400,16.75
83200,400,23.75
83300,400,30.1
83400,400,25.35
83500,400,23.75
83600,400,28.5
83700,400,21.15
83800,400,16.15
83900,400,26.75
84000,400,17.85
84100,400,27.25
84200,400,28.4
84300,400,33.9
84400,400,19.75
84500,400,22.1
84600,400,21.55
84700,400,20.35
84800,400,25.25
84900,400,28.5
85000,400,23.45
85100,400,30.85
85200,400,20.3
85300,400,32.9
85400,400,21.85
85500,400,26.1
85600,400,25.6
85700,400,24.3
85800,400,17.55
85900,400,24.5
86000,400,25.45
86100,400,24.1
86200,400,19.95
86300,400,20.85
86400,400,27
86500,400,22.55
86600,400,27.45
86700,400,15.5
86800,400,16.95
86900,400,22
87000,400,26.05
87100,400,22.6
87200,400,20.95
87300,400,28.6
87400,400,36
87500,400,25.35
87600,400,21.65
87700,400,27.5
87800,400,25.9
87900,400,15.55
88000,400,23.45
88100,400,17.4
88200,400,25.8
88300,400,23.1
88400,400,13.9
88500,400,24.35
88600,400,27.4
88700,400,31.95
88800,400,30.2
88900,400,22.1
89000,400,24.15
89100,400,22.2
89200,400,25
89300,400,25.05
89400,400,22.35
89500,400,17.7
89600,400,27.95
89700,400,28
89800,400,24.75
89900,400,19.55
90000,400,21.85
90100,400,16.65
90200,400,22.1
90300,400,18.15
90400,400,31.25
90500,400,24.95
90600,400,22.2
90700,400,23.55
90800,400,24.65
90900,400,18.1
91000,400,17.3
91100,400,26.75
91200,400,24.2
91300,400,22.9
91400,400,23.1
91500,400,23.15
91600,400,27.2
91700,400,20.6
91800,400,19.3
91900,400,28.4
92000,400,23.9
92100,400,16.55
92200,400,23.75
92300,400,23.8
92400,400,22.45
92500,400,26.55
92600,400,31.2
92700,400,18.9
92800,400,33.15
92900,400,22.75
93000,400,27.85
93100,400,22.15
93200,400,31.65
93300,400,25.7
93400,400,31.7
93500,400,19.2
93600,400,17.65
